STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
2,1000,500000,0.0002,0.1,59148,86408,2.489,68.452
2,1000,500000,0.0002,0.1,59409,87042,2.500,68.253
2,1000,500000,0.0002,0.1,59274,86147,2.491,68.806
2,1000,500000,0.0002,0.2,59525,90159,2.501,66.022
2,1000,500000,0.0002,0.2,59786,89314,2.510,66.939
2,1000,500000,0.0002,0.2,59671,89649,2.507,66.561
2,1000,500000,0.0002,0.3,60142,92739,2.528,64.851
2,1000,500000,0.0002,0.3,60207,92565,2.528,65.043
2,1000,500000,0.0002,0.3,60256,92835,2.526,64.907
2,1000,500000,0.0002,0.4,60346,95902,2.535,62.925
2,1000,500000,0.0002,0.4,60588,94886,2.546,63.853
2,1000,500000,0.0002,0.4,60609,95475,2.536,63.482
2,1000,500000,0.0002,0.5,60696,99827,2.555,60.801
2,1000,500000,0.0002,0.5,60813,99955,2.560,60.840
2,1000,500000,0.0002,0.5,61032,100418,2.560,60.778
2,1000,500000,0.0002,0.6,60795,104394,2.560,58.236
2,1000,500000,0.0002,0.6,60922,105305,2.559,57.853
2,1000,500000,0.0002,0.6,61064,105501,2.564,57.880
2,1000,500000,0.0002,0.7,60650,112126,2.551,54.091
2,1000,500000,0.0002,0.7,60876,110871,2.557,54.907
2,1000,500000,0.0002,0.7,60842,111331,2.554,54.650
2,1000,500000,0.0002,0.8,60032,119229,2.521,50.350
2,1000,500000,0.0002,0.8,59715,120230,2.519,49.667
2,1000,500000,0.0002,0.8,59874,119897,2.515,49.938
2,1000,500000,0.0002,0.9,57135,135138,2.396,42.279
2,1000,500000,0.0002,0.9,57151,134536,2.399,42.480
2,1000,500000,0.0002,0.9,57072,135497,2.392,42.120
2,1000,500000,0.0002,1,46294,169406,1.939,27.327
2,1000,500000,0.0002,1,46164,170353,1.933,27.099
2,1000,500000,0.0002,1,45947,170238,1.929,26.990
