STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
2,500,500000,0.0002,0.1,36563,40947,1.538,89.293
2,500,500000,0.0002,0.1,36347,40539,1.521,89.659
2,500,500000,0.0002,0.1,36090,40435,1.513,89.254
2,1000,500000,0.0002,0.1,59076,87164,2.483,67.776
2,1000,500000,0.0002,0.1,59109,86462,2.487,68.364
2,1000,500000,0.0002,0.1,59481,87450,2.498,68.017
2,1500,500000,0.0002,0.1,58932,117420,2.476,50.189
2,1500,500000,0.0002,0.1,59237,116629,2.489,50.791
2,1500,500000,0.0002,0.1,59445,117388,2.499,50.640
2,2000,500000,0.0002,0.1,55198,144040,2.318,38.321
2,2000,500000,0.0002,0.1,54839,143899,2.307,38.109
2,2000,500000,0.0002,0.1,54824,144012,2.306,38.069
2,2500,500000,0.0002,0.1,47759,169349,2.009,28.202
2,2500,500000,0.0002,0.1,47998,169052,2.015,28.392
2,2500,500000,0.0002,0.1,47945,169862,2.016,28.226
2,3000,500000,0.0002,0.1,40725,194149,1.712,20.976
2,3000,500000,0.0002,0.1,40826,194895,1.713,20.948
2,3000,500000,0.0002,0.1,40633,195011,1.704,20.836
2,3500,500000,0.0002,0.1,33531,219061,1.405,15.307
2,3500,500000,0.0002,0.1,33946,219547,1.422,15.462
2,3500,500000,0.0002,0.1,33870,220356,1.422,15.371
2,4000,500000,0.0002,0.1,27804,243776,1.167,11.406
2,4000,500000,0.0002,0.1,27920,243681,1.173,11.458
2,4000,500000,0.0002,0.1,27748,244161,1.164,11.365
2,4500,500000,0.0002,0.1,22871,267430,0.960,8.552
2,4500,500000,0.0002,0.1,22712,267888,0.953,8.478
2,4500,500000,0.0002,0.1,22905,267050,0.963,8.577
2,5000,500000,0.0002,0.1,18803,291510,0.789,6.450
2,5000,500000,0.0002,0.1,18807,291595,0.793,6.450
2,5000,500000,0.0002,0.1,18763,292859,0.787,6.407
