STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
1,500,500000,0.0002,0.1,39075,44755,1.641,87.309
1,500,500000,0.0002,0.1,39556,45437,1.665,87.057
1,500,500000,0.0002,0.1,39094,44548,1.640,87.757
1,1000,500000,0.0002,0.1,57197,83710,2.405,68.328
1,1000,500000,0.0002,0.1,56426,82663,2.377,68.260
1,1000,500000,0.0002,0.1,57254,84575,2.402,67.696
1,1500,500000,0.0002,0.1,60626,115875,2.544,52.320
1,1500,500000,0.0002,0.1,60922,115806,2.558,52.607
1,1500,500000,0.0002,0.1,60786,115786,2.559,52.499
1,2000,500000,0.0002,0.1,57165,141438,2.402,40.417
1,2000,500000,0.0002,0.1,57344,141489,2.408,40.529
1,2000,500000,0.0002,0.1,57342,141805,2.412,40.437
1,2500,500000,0.0002,0.1,51041,166109,2.147,30.727
1,2500,500000,0.0002,0.1,51314,165703,2.156,30.967
1,2500,500000,0.0002,0.1,51519,165370,2.160,31.154
1,3000,500000,0.0002,0.1,44921,187910,1.886,23.906
1,3000,500000,0.0002,0.1,45010,187922,1.891,23.951
1,3000,500000,0.0002,0.1,45066,187767,1.894,24.001
1,3500,500000,0.0002,0.1,38538,210372,1.618,18.319
1,3500,500000,0.0002,0.1,38628,209553,1.628,18.434
1,3500,500000,0.0002,0.1,38769,210130,1.625,18.450
1,4000,500000,0.0002,0.1,32696,232311,1.376,14.074
1,4000,500000,0.0002,0.1,32455,232814,1.365,13.940
1,4000,500000,0.0002,0.1,32950,232791,1.383,14.154
1,4500,500000,0.0002,0.1,27403,255416,1.152,10.729
1,4500,500000,0.0002,0.1,27471,255625,1.154,10.747
1,4500,500000,0.0002,0.1,27359,255567,1.147,10.705
1,5000,500000,0.0002,0.1,23058,277571,0.969,8.307
1,5000,500000,0.0002,0.1,22967,277131,0.965,8.287
1,5000,500000,0.0002,0.1,22780,277108,0.960,8.221
