STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
4,500,500000,0.0002,0.1,32025,35260,1.342,90.825
4,500,500000,0.0002,0.1,32185,35253,1.354,91.297
4,500,500000,0.0002,0.1,32151,35295,1.346,91.092
4,1000,500000,0.0002,0.1,54389,69379,2.289,78.394
4,1000,500000,0.0002,0.1,54472,69998,2.286,77.819
4,1000,500000,0.0002,0.1,54423,70036,2.290,77.707
4,1500,500000,0.0002,0.1,62094,103001,2.604,60.285
4,1500,500000,0.0002,0.1,62028,102663,2.609,60.419
4,1500,500000,0.0002,0.1,62000,102864,2.601,60.274
4,2000,500000,0.0002,0.1,57552,134251,2.416,42.869
4,2000,500000,0.0002,0.1,56714,135442,2.385,41.873
4,2000,500000,0.0002,0.1,57089,134629,2.400,42.405
4,2500,500000,0.0002,0.1,46767,166971,1.961,28.009
4,2500,500000,0.0002,0.1,46720,167250,1.962,27.934
4,2500,500000,0.0002,0.1,47074,166787,1.974,28.224
4,3000,500000,0.0002,0.1,37110,195618,1.558,18.971
4,3000,500000,0.0002,0.1,37386,195181,1.573,19.155
4,3000,500000,0.0002,0.1,36838,197170,1.547,18.683
4,3500,500000,0.0002,0.1,30093,220732,1.262,13.633
4,3500,500000,0.0002,0.1,30109,220304,1.264,13.667
4,3500,500000,0.0002,0.1,29773,220486,1.252,13.503
4,4000,500000,0.0002,0.1,23635,245105,0.995,9.643
4,4000,500000,0.0002,0.1,24064,244297,1.012,9.850
4,4000,500000,0.0002,0.1,23522,246300,0.988,9.550
4,4500,500000,0.0002,0.1,19203,270423,0.805,7.101
4,4500,500000,0.0002,0.1,19049,270547,0.799,7.041
4,4500,500000,0.0002,0.1,19387,269618,0.813,7.191
4,5000,500000,0.0002,0.1,15138,294749,0.638,5.136
4,5000,500000,0.0002,0.1,15209,294749,0.641,5.160
4,5000,500000,0.0002,0.1,15532,293190,0.654,5.298
