STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
3,500,500000,0.0002,0.1,31936,34899,1.344,91.510
3,500,500000,0.0002,0.1,31850,34878,1.340,91.318
3,500,500000,0.0002,0.1,31965,35006,1.346,91.313
3,1000,500000,0.0002,0.1,53327,67934,2.234,78.498
3,1000,500000,0.0002,0.1,53399,67877,2.241,78.670
3,1000,500000,0.0002,0.1,53426,67483,2.243,79.170
3,1500,500000,0.0002,0.1,61946,97450,2.600,63.567
3,1500,500000,0.0002,0.1,61478,96935,2.585,63.422
3,1500,500000,0.0002,0.1,61752,97332,2.590,63.445
3,2000,500000,0.0002,0.1,59673,124513,2.507,47.925
3,2000,500000,0.0002,0.1,59866,123812,2.512,48.352
3,2000,500000,0.0002,0.1,59810,124391,2.506,48.082
3,2500,500000,0.0002,0.1,52646,150354,2.210,35.015
3,2500,500000,0.0002,0.1,52686,150333,2.205,35.046
3,2500,500000,0.0002,0.1,52681,149504,2.217,35.237
3,3000,500000,0.0002,0.1,42901,177627,1.807,24.152
3,3000,500000,0.0002,0.1,42780,178100,1.801,24.020
3,3000,500000,0.0002,0.1,43077,178024,1.812,24.197
3,3500,500000,0.0002,0.1,32720,210771,1.372,15.524
3,3500,500000,0.0002,0.1,33206,210100,1.392,15.805
3,3500,500000,0.0002,0.1,33540,209534,1.409,16.007
3,4000,500000,0.0002,0.1,23882,246280,1.003,9.697
3,4000,500000,0.0002,0.1,23938,246414,1.006,9.715
3,4000,500000,0.0002,0.1,23851,246163,1.004,9.689
3,4500,500000,0.0002,0.1,17956,278723,0.756,6.442
3,4500,500000,0.0002,0.1,17801,281221,0.747,6.330
3,4500,500000,0.0002,0.1,17417,282765,0.729,6.160
3,5000,500000,0.0002,0.1,13528,312837,0.569,4.324
3,5000,500000,0.0002,0.1,13795,311216,0.580,4.433
3,5000,500000,0.0002,0.1,13288,313463,0.557,4.239
