STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
0,500,500000,0.0002,0.1,49522,72717,2.079,68.102
0,500,500000,0.0002,0.1,49267,73591,2.070,66.947
0,500,500000,0.0002,0.1,49420,72390,2.075,68.269
0,1000,500000,0.0002,0.1,35280,211849,1.483,16.653
0,1000,500000,0.0002,0.1,35339,210981,1.486,16.750
0,1000,500000,0.0002,0.1,35507,212208,1.491,16.732
0,1500,500000,0.0002,0.1,29384,239429,1.237,12.273
0,1500,500000,0.0002,0.1,29522,239468,1.239,12.328
0,1500,500000,0.0002,0.1,29306,238780,1.234,12.273
0,2000,500000,0.0002,0.1,25581,260971,1.072,9.802
0,2000,500000,0.0002,0.1,25488,260549,1.073,9.782
0,2000,500000,0.0002,0.1,25693,261798,1.076,9.814
0,2500,500000,0.0002,0.1,22772,281441,0.955,8.091
0,2500,500000,0.0002,0.1,22658,280154,0.952,8.088
0,2500,500000,0.0002,0.1,22771,281073,0.955,8.101
0,3000,500000,0.0002,0.1,20497,299568,0.857,6.842
0,3000,500000,0.0002,0.1,20218,298113,0.848,6.782
0,3000,500000,0.0002,0.1,20288,298261,0.850,6.802
0,3500,500000,0.0002,0.1,18058,314302,0.758,5.745
0,3500,500000,0.0002,0.1,18152,314816,0.762,5.766
0,3500,500000,0.0002,0.1,18058,314947,0.759,5.734
0,4000,500000,0.0002,0.1,16329,330938,0.686,4.934
0,4000,500000,0.0002,0.1,16477,332344,0.691,4.958
0,4000,500000,0.0002,0.1,16263,330949,0.683,4.914
0,4500,500000,0.0002,0.1,14594,346174,0.610,4.216
0,4500,500000,0.0002,0.1,14715,346880,0.618,4.242
0,4500,500000,0.0002,0.1,14589,346472,0.614,4.211
0,5000,500000,0.0002,0.1,13191,362607,0.552,3.638
0,5000,500000,0.0002,0.1,13135,361968,0.552,3.629
0,5000,500000,0.0002,0.1,13075,361751,0.549,3.614
