STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
2,1000,500000,0.0002,0.1,59283,86972,2.487,68.163
2,1000,500000,0.0002,0.1,59675,87660,2.506,68.076
2,1000,500000,0.0002,0.1,59702,87475,2.506,68.250
2,1000,500000,0.001,0.1,60562,112983,2.539,53.603
2,1000,500000,0.001,0.1,60201,112938,2.530,53.304
2,1000,500000,0.001,0.1,60550,113204,2.543,53.488
2,1000,500000,0.005,0.1,60496,118009,2.536,51.264
2,1000,500000,0.005,0.1,60013,118176,2.520,50.783
2,1000,500000,0.005,0.1,60272,116623,2.536,51.681
2,1000,500000,0.01,0.1,60277,117998,2.533,51.083
2,1000,500000,0.01,0.1,60209,118772,2.530,50.693
2,1000,500000,0.01,0.1,60342,117877,2.536,51.191
2,1000,500000,0.05,0.1,59833,119113,2.512,50.232
2,1000,500000,0.05,0.1,59929,118268,2.518,50.672
2,1000,500000,0.05,0.1,59789,119522,2.513,50.023
2,1000,500000,0.1,0.1,60222,117765,2.530,51.137
2,1000,500000,0.1,0.1,59797,118626,2.512,50.408
2,1000,500000,0.1,0.1,59813,118666,2.513,50.404
2,1000,500000,0.2,0.1,60045,118390,2.516,50.718
2,1000,500000,0.2,0.1,60071,118272,2.521,50.791
2,1000,500000,0.2,0.1,60045,119305,2.513,50.329
2,1000,500000,0.5,0.1,59786,118479,2.507,50.461
2,1000,500000,0.5,0.1,60142,118867,2.532,50.596
2,1000,500000,0.5,0.1,60081,118754,2.525,50.593
2,1000,500000,1,0.1,60106,118276,2.528,50.818
2,1000,500000,1,0.1,59921,118549,2.526,50.545
2,1000,500000,1,0.1,60034,119488,2.523,50.243
