STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
1,1000,500000,0.0002,0.1,56964,83678,2.396,68.075
1,1000,500000,0.0002,0.1,57378,84025,2.413,68.287
1,1000,500000,0.0002,0.1,57057,83836,2.397,68.058
1,1000,500000,0.001,0.1,61149,118042,2.568,51.803
1,1000,500000,0.001,0.1,61192,116756,2.571,52.410
1,1000,500000,0.001,0.1,61559,115396,2.586,53.346
1,1000,500000,0.005,0.1,60413,124063,2.540,48.695
1,1000,500000,0.005,0.1,60689,125232,2.549,48.461
1,1000,500000,0.005,0.1,60501,125333,2.538,48.272
1,1000,500000,0.01,0.1,60374,124808,2.542,48.374
1,1000,500000,0.01,0.1,60630,124640,2.540,48.644
1,1000,500000,0.01,0.1,60724,124078,2.546,48.940
1,1000,500000,0.05,0.1,60754,125443,2.549,48.432
1,1000,500000,0.05,0.1,60114,126863,2.527,47.385
1,1000,500000,0.05,0.1,60173,127012,2.533,47.376
1,1000,500000,0.1,0.1,60521,125909,2.540,48.067
1,1000,500000,0.1,0.1,60191,126066,2.530,47.746
1,1000,500000,0.1,0.1,60628,125120,2.547,48.456
1,1000,500000,0.2,0.1,60259,126588,2.526,47.602
1,1000,500000,0.2,0.1,60431,124924,2.541,48.374
1,1000,500000,0.2,0.1,60517,125170,2.538,48.348
1,1000,500000,0.5,0.1,60493,125619,2.540,48.156
1,1000,500000,0.5,0.1,60421,125200,2.535,48.260
1,1000,500000,0.5,0.1,60213,124879,2.530,48.217
1,1000,500000,1,0.1,60111,126138,2.527,47.655
1,1000,500000,1,0.1,60352,125222,2.531,48.196
1,1000,500000,1,0.1,60371,126873,2.528,47.584
