STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
4,1000,500000,0.0002,0.1,54523,70277,2.288,77.583
4,1000,500000,0.0002,0.1,54297,70129,2.277,77.424
4,1000,500000,0.0002,0.1,54358,70018,2.283,77.634
4,1000,500000,0.001,0.1,62113,104068,2.610,59.685
4,1000,500000,0.001,0.1,62169,103989,2.609,59.784
4,1000,500000,0.001,0.1,62053,103501,2.602,59.954
4,1000,500000,0.005,0.1,62166,109976,2.614,56.527
4,1000,500000,0.005,0.1,62281,110399,2.613,56.414
4,1000,500000,0.005,0.1,61866,110350,2.601,56.063
4,1000,500000,0.01,0.1,61970,111640,2.603,55.509
4,1000,500000,0.01,0.1,61938,111287,2.600,55.656
4,1000,500000,0.01,0.1,61976,111072,2.604,55.798
4,1000,500000,0.05,0.1,62141,111744,2.613,55.610
4,1000,500000,0.05,0.1,61585,112307,2.583,54.836
4,1000,500000,0.05,0.1,61434,112798,2.580,54.464
4,1000,500000,0.1,0.1,61705,111943,2.596,55.122
4,1000,500000,0.1,0.1,61827,111898,2.598,55.253
4,1000,500000,0.1,0.1,61884,111612,2.599,55.446
4,1000,500000,0.2,0.1,62017,111821,2.606,55.461
4,1000,500000,0.2,0.1,61726,112139,2.597,55.044
4,1000,500000,0.2,0.1,61666,112388,2.588,54.869
4,1000,500000,0.5,0.1,61812,112235,2.592,55.074
4,1000,500000,0.5,0.1,61994,112042,2.603,55.331
4,1000,500000,0.5,0.1,61722,112392,2.594,54.917
4,1000,500000,1,0.1,61484,112359,2.580,54.721
4,1000,500000,1,0.1,61688,111785,2.591,55.185
4,1000,500000,1,0.1,61832,112515,2.597,54.954
