STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
3,1000,500000,0.0002,0.1,53401,67682,2.242,78.900
3,1000,500000,0.0002,0.1,53274,67721,2.241,78.667
3,1000,500000,0.0002,0.1,53548,68537,2.249,78.130
3,1000,500000,0.001,0.1,61893,97480,2.602,63.493
3,1000,500000,0.001,0.1,61744,97917,2.592,63.057
3,1000,500000,0.001,0.1,61831,97542,2.597,63.389
3,1000,500000,0.005,0.1,62108,103123,2.613,60.227
3,1000,500000,0.005,0.1,62228,103113,2.620,60.349
3,1000,500000,0.005,0.1,62443,103391,2.624,60.395
3,1000,500000,0.01,0.1,62004,104255,2.600,59.473
3,1000,500000,0.01,0.1,62106,104582,2.601,59.385
3,1000,500000,0.01,0.1,62170,104130,2.612,59.704
3,1000,500000,0.05,0.1,62285,104601,2.611,59.545
3,1000,500000,0.05,0.1,62263,105098,2.610,59.243
3,1000,500000,0.05,0.1,62451,104466,2.623,59.781
3,1000,500000,0.1,0.1,62043,104695,2.607,59.261
3,1000,500000,0.1,0.1,62216,105172,2.615,59.156
3,1000,500000,0.1,0.1,62213,104882,2.610,59.317
3,1000,500000,0.2,0.1,62188,104587,2.614,59.461
3,1000,500000,0.2,0.1,62269,104772,2.617,59.433
3,1000,500000,0.2,0.1,62265,104391,2.614,59.646
3,1000,500000,0.5,0.1,62457,104605,2.625,59.707
3,1000,500000,0.5,0.1,62010,105056,2.609,59.026
3,1000,500000,0.5,0.1,61954,104988,2.604,59.011
3,1000,500000,1,0.1,62215,104653,2.615,59.449
3,1000,500000,1,0.1,62178,104962,2.613,59.239
3,1000,500000,1,0.1,62182,104612,2.614,59.441
