STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
0,1000,500000,0.0002,0.1,35184,211457,1.477,16.639
0,1000,500000,0.0002,0.1,35340,212192,1.482,16.655
0,1000,500000,0.0002,0.1,35304,211344,1.487,16.705
0,1000,500000,0.001,0.1,31793,227675,1.333,13.964
0,1000,500000,0.001,0.1,31827,227185,1.339,14.009
0,1000,500000,0.001,0.1,31866,226015,1.342,14.099
0,1000,500000,0.005,0.1,31301,230121,1.313,13.602
0,1000,500000,0.005,0.1,31471,230176,1.319,13.673
0,1000,500000,0.005,0.1,31395,230490,1.319,13.621
0,1000,500000,0.01,0.1,31310,230594,1.316,13.578
0,1000,500000,0.01,0.1,31443,230911,1.321,13.617
0,1000,500000,0.01,0.1,31372,230614,1.318,13.604
0,1000,500000,0.05,0.1,31490,232357,1.316,13.552
0,1000,500000,0.05,0.1,31518,231990,1.322,13.586
0,1000,500000,0.05,0.1,31512,231552,1.321,13.609
0,1000,500000,0.1,0.1,31306,231379,1.316,13.530
0,1000,500000,0.1,0.1,31399,231213,1.317,13.580
0,1000,500000,0.1,0.1,31256,231005,1.313,13.530
0,1000,500000,0.2,0.1,31368,231603,1.318,13.544
0,1000,500000,0.2,0.1,31418,231040,1.316,13.599
0,1000,500000,0.2,0.1,31362,231833,1.317,13.528
0,1000,500000,0.5,0.1,31356,231521,1.317,13.543
0,1000,500000,0.5,0.1,31401,231564,1.317,13.560
0,1000,500000,0.5,0.1,31378,231686,1.317,13.543
0,1000,500000,1,0.1,31413,230814,1.326,13.610
0,1000,500000,1,0.1,31338,232002,1.316,13.508
0,1000,500000,1,0.1,31413,231902,1.322,13.546
