STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
2,1000,500000,0.0002,0.1,59277,86532,2.493,68.504
2,1000,500000,0.0002,0.2,59661,89707,2.506,66.507
2,1000,500000,0.0002,0.3,60202,92713,2.527,64.934
2,1000,500000,0.0002,0.4,60514,95421,2.539,63.42
2,1000,500000,0.0002,0.5,60847,100067,2.558,60.806
2,1000,500000,0.0002,0.6,60927,105067,2.561,57.99
2,1000,500000,0.0002,0.7,60789,111443,2.554,54.549
2,1000,500000,0.0002,0.8,59874,119785,2.518,49.985
2,1000,500000,0.0002,0.9,57119,135057,2.396,42.293
2,1000,500000,0.0002,1,46135,169999,1.934,27.139
