STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
2,500,500000,0.0002,0.1,36333,40640,1.524,89.402
2,1000,500000,0.0002,0.1,59222,87025,2.489,68.052
2,1500,500000,0.0002,0.1,59205,117146,2.488,50.54
2,2000,500000,0.0002,0.1,54954,143984,2.31,38.166
2,2500,500000,0.0002,0.1,47901,169421,2.013,28.273
2,3000,500000,0.0002,0.1,40728,194685,1.71,20.92
2,3500,500000,0.0002,0.1,33782,219655,1.416,15.38
2,4000,500000,0.0002,0.1,27824,243873,1.168,11.41
2,4500,500000,0.0002,0.1,22829,267456,0.959,8.536
2,5000,500000,0.0002,0.1,18791,291988,0.79,6.436
