STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
4,500,500000,0.0002,0.1,32120,35269,1.347,91.071
4,1000,500000,0.0002,0.1,54428,69804,2.288,77.973
4,1500,500000,0.0002,0.1,62041,102843,2.605,60.326
4,2000,500000,0.0002,0.1,57118,134774,2.4,42.382
4,2500,500000,0.0002,0.1,46854,167003,1.966,28.056
4,3000,500000,0.0002,0.1,37111,195990,1.559,18.936
4,3500,500000,0.0002,0.1,29992,220507,1.259,13.601
4,4000,500000,0.0002,0.1,23740,245234,0.998,9.681
4,4500,500000,0.0002,0.1,19213,270196,0.806,7.111
4,5000,500000,0.0002,0.1,15293,294229,0.644,5.198
