STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
3,500,500000,0.0002,0.1,31917,34928,1.343,91.38
3,1000,500000,0.0002,0.1,53384,67765,2.239,78.779
3,1500,500000,0.0002,0.1,61725,97239,2.592,63.478
3,2000,500000,0.0002,0.1,59783,124239,2.508,48.12
3,2500,500000,0.0002,0.1,52671,150064,2.211,35.099
3,3000,500000,0.0002,0.1,42919,177917,1.807,24.123
3,3500,500000,0.0002,0.1,33155,210135,1.391,15.779
3,4000,500000,0.0002,0.1,23890,246286,1.004,9.7
3,4500,500000,0.0002,0.1,17725,280903,0.744,6.311
3,5000,500000,0.0002,0.1,13537,312505,0.569,4.332
