STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
0,500,500000,0.0002,0.1,49403,72899,2.075,67.773
0,1000,500000,0.0002,0.1,35375,211679,1.487,16.712
0,1500,500000,0.0002,0.1,29404,239226,1.237,12.291
0,2000,500000,0.0002,0.1,25587,261106,1.074,9.799
0,2500,500000,0.0002,0.1,22734,280889,0.954,8.093
0,3000,500000,0.0002,0.1,20334,298647,0.852,6.809
0,3500,500000,0.0002,0.1,18089,314688,0.76,5.748
0,4000,500000,0.0002,0.1,16356,331410,0.687,4.935
0,4500,500000,0.0002,0.1,14633,346509,0.614,4.223
0,5000,500000,0.0002,0.1,13134,362109,0.551,3.627
